Campaign,Date,City/Location,Latitude,Longitude,Channel,Device,Ad,Impressions,"CTR, %",Clicks,Daily Average CPC,"Spend, INR",Conversions,"Total conversion value, INR",Likes (Reactions),Shares,Comments
Spring ,2/1/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1110.8,1.9%,21,120,2459,1,4458,45,4,3
Spring ,2/2/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1296.6,1.1%,14,62,889,2,3468,14,17.00,11
Spring ,2/3/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1264.4,1.3%,17,33,545,4,4623,24,1,8
Spring ,2/4/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,837.8,1.6%,13,49,659,3,2229,59,10,6
Spring ,2/5/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1599,1.4%,23,71,1640,2,9305,44,17,2
Spring ,2/6/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,893.6,1.9%,17,27,458,4,1734,57,3,3
Spring ,2/7/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1540.8,1.5%,23,132,2979,0,0,44,0,3
Spring ,2/8/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,994.8,1.4%,14,26,368,0,0,9,9,6
Spring ,2/9/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1336.6,1.2%,16,15,242,2,1156,33,12,0
Spring ,2/1/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1001.8,1.4%,14,45,615,4,12088,9,17,0
Spring ,2/2/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1141.2,1.2%,13,76,1008,4,5028,37,4,9
Spring ,2/3/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1304.2,1.5%,19,100,1941,4,1816,29,6,11
Spring ,2/4/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,878.4,1.0%,9,25,226,5,13986,20,2,9
Spring ,2/5/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1211.8,1.3%,16,116,1879,5,11154,39,13,6
Spring ,2/6/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,962.2,1.5%,15,33,480,6,9940,9,6,2
Spring ,2/7/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1254,1.9%,24,67,1602,2,1816,29,17,8
Spring ,2/8/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1261.4,1.6%,21,22,450,2,5895,43,4,3
Spring ,2/9/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1591.4,1.7%,27,92,2503,1,2147,36,3,6
Spring ,2/10/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,823.8,1.3%,11,102,1099,1,5317,16,7,3
Spring ,2/11/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1318.4,1.2%,16,84,1341,3,2312,22,17,3
Spring ,2/12/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1669.6,1.2%,20,29,579,5,1321,20,18,12
Spring ,2/13/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1417,1.8%,25,120,3001,3,1981,28,17,11
Spring ,2/14/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1290.4,1.3%,17,9,150,2,5028,20,2,3
Spring ,2/15/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1336.6,1.1%,14,14,196,5,4293,49,2,3
Spring ,2/16/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1315.6,1.4%,19,127,2348,2,3963,19,12,2
Spring ,2/17/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1479,1.9%,28,84,2350,2,1156,23,21,2
Spring ,2/18/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1472.2,2.0%,29,28,807,4,2147,59,12,3
Spring ,2/19/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1356,1.1%,15,108,1666,1,3055,33,1,11
Spring ,2/20/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,904,1.3%,12,114,1316,5,908,22,18,8
Spring ,2/21/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1424.2,1.6%,23,57,1323,3,4508,34,4,3
Spring ,2/22/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1372.8,1.0%,14,4,55,1,4855,49,2,6
Spring ,2/23/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,807,1.2%,10,41,386,0,0,60,13,11
Spring ,2/24/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1011.4,1.9%,19,16,301,0,0,50,14,5
Spring ,2/25/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1605,1.6%,25,75,1894,3,4970,8,3,2
Spring ,2/26/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1111,1.9%,21,62,1315,5,1981,15,16,3
Spring ,2/27/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1035.8,1.4%,14,77,1087,5,1404,46,13,6
Spring ,2/28/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,957.2,1.2%,11,72,809,3,4954,37,1,8
Spring ,1/2/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1057.8,1.7%,18,105,1930,3,3055,60,7,5
Spring ,1/2/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1459.6,1.7%,24,7,167,3,1981,20,5,9
Spring ,1/2/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1062.2,1.2%,13,49,646,4,3756,48,11,9
Spring ,1/4/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1137.4,1.5%,17,27,456,5,165,22,12,0
Spring ,1/5/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1158,1.3%,15,37,551,2,3872,49,2,6
Spring ,1/6/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1227.2,1.2%,14,30,422,5,1899,13,3,0
Spring ,1/7/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1416.2,1.8%,25,88,2194,3,3302,55,2,9
Spring ,1/8/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1042,1.8%,19,58,1113,0,0,40,1,9
Spring ,1/9/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,896.6,1.4%,12,43,522,2,743,50,3,0
Spring ,1/10/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1483.4,1.3%,20,111,2202,2,3137,11,3,0
Spring ,1/11/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,724.6,1.2%,9,125,1084,4,83,24,4,9
Spring ,1/12/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,931.2,1.5%,14,58,799,0,0,53,24,8
Spring ,1/13/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,863,1.2%,10,74,762,0,0,25,1,9
Spring ,1/14/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1147,1.5%,18,73,1284,4,11327,41,8,0
Spring ,1/15/2023,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1421.4,1.8%,25,13,323,1,12425,32,9,11
